epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.084,0.77404,0.85604,1.13142,0.8831,0.91031,0.97124,0.79274,0.69163,0.95525,1.12954,0.000552319,0.000552319,0.000552319
2,148.154,0.86729,0.64051,1.16316,0.90106,0.97787,0.98273,0.80528,0.68573,0.73674,1.10062,0.0011025,0.0011025,0.0011025
3,209.751,0.85764,0.6057,1.16531,0.9349,0.94491,0.96749,0.78599,0.65449,1.58103,1.04725,0.00164718,0.00164718,0.00164718
4,270.974,0.81753,0.57336,1.14348,0.90113,0.90906,0.96203,0.80837,0.6226,0.8348,1.03455,0.00164225,0.00164225,0.00164225
5,335.683,0.79198,0.5408,1.13456,0.95572,0.94795,0.98985,0.87714,0.49978,0.51895,0.95653,0.00163399,0.00163399,0.00163399
6,399.769,0.76012,0.49486,1.11515,0.99328,0.99358,0.995,0.89409,0.48967,0.32235,0.95638,0.00162574,0.00162574,0.00162574
7,462.88,0.75535,0.48331,1.11631,0.985,0.97689,0.99419,0.88307,0.48727,0.41215,0.95393,0.00161749,0.00161749,0.00161749
8,526.652,0.72528,0.4641,1.10005,0.99832,0.99358,0.995,0.89185,0.45732,0.29842,0.93359,0.00160924,0.00160924,0.00160924
9,590.313,0.71104,0.44718,1.08705,0.98652,0.98668,0.99475,0.89735,0.47292,0.29395,0.93157,0.00160099,0.00160099,0.00160099
10,655.199,0.70354,0.42619,1.09432,0.98662,0.99328,0.99451,0.90269,0.44971,0.28361,0.93094,0.00159274,0.00159274,0.00159274
11,720.75,0.69237,0.42987,1.07657,0.99094,0.98716,0.99446,0.91056,0.41523,0.30068,0.9106,0.00158448,0.00158448,0.00158448
12,784.914,0.70362,0.43365,1.0829,0.99375,0.98574,0.99469,0.89849,0.44963,0.29961,0.93755,0.00157623,0.00157623,0.00157623
13,849.752,0.70269,0.41408,1.08551,0.98295,0.95056,0.98837,0.90536,0.42579,0.29316,0.93054,0.00156798,0.00156798,0.00156798
14,912.992,0.66066,0.40273,1.06834,0.9917,0.99358,0.995,0.9062,0.44678,0.27077,0.93803,0.00155973,0.00155973,0.00155973
15,975.791,0.67938,0.40473,1.06821,0.99295,0.99358,0.99479,0.9112,0.42793,0.26483,0.92295,0.00155148,0.00155148,0.00155148
16,1039.6,0.66218,0.39805,1.06934,0.99835,0.99082,0.995,0.91511,0.39893,0.24648,0.90974,0.00154323,0.00154323,0.00154323
17,1103.9,0.63255,0.38775,1.05505,0.99256,0.99358,0.99486,0.91694,0.40635,0.24174,0.90685,0.00153497,0.00153497,0.00153497
18,1167.63,0.66735,0.39093,1.06372,0.9942,0.99713,0.99496,0.9099,0.43997,0.25152,0.91424,0.00152672,0.00152672,0.00152672
19,1231.69,0.63361,0.36972,1.04897,0.9965,0.98583,0.99,0.90446,0.4174,0.26207,0.92156,0.00151847,0.00151847,0.00151847
20,1296.3,0.62965,0.37472,1.05435,0.99387,0.99402,0.995,0.9204,0.39064,0.24771,0.9018,0.00151022,0.00151022,0.00151022
21,1359.68,0.6416,0.3846,1.05359,0.98413,0.99285,0.99423,0.92251,0.39432,0.25552,0.90861,0.00150197,0.00150197,0.00150197
