epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1211.12,0.60459,0.27172,1.01725,0.98736,0.97277,0.99424,0.91692,0.3877,0.15398,0.90916,0.00132868,0.00132868,0.00132868
43,1275.18,0.61437,0.28686,1.02979,0.98807,0.9886,0.99445,0.93109,0.3496,0.14537,0.88345,0.00132043,0.00132043,0.00132043
44,1338.43,0.6176,0.27847,1.02258,0.99541,0.98096,0.99467,0.92625,0.37226,0.14263,0.89693,0.00131218,0.00131218,0.00131218
45,1401.57,0.62651,0.27102,1.03065,0.99304,0.9911,0.99494,0.93081,0.36596,0.13373,0.89298,0.00130393,0.00130393,0.00130393
46,1463.97,0.60099,0.26049,1.01558,0.99532,0.98448,0.99476,0.93495,0.36331,0.14361,0.89316,0.00129568,0.00129568,0.00129568
47,1528.18,0.62523,0.27194,1.02839,0.98413,0.99355,0.99391,0.92584,0.37039,0.14889,0.8965,0.00128742,0.00128742,0.00128742
48,1590.86,0.62488,0.27437,1.03361,0.99729,0.9932,0.995,0.9344,0.34447,0.13733,0.8886,0.00127917,0.00127917,0.00127917
49,1654.11,0.60695,0.25289,1.01782,0.99269,0.9927,0.99493,0.9336,0.35441,0.14302,0.8887,0.00127092,0.00127092,0.00127092
50,1716.19,0.60579,0.26355,1.02238,1,0.98379,0.99466,0.92887,0.36575,0.15072,0.9021,0.00126267,0.00126267,0.00126267
51,1779.06,0.60934,0.25821,1.02318,0.99009,0.99263,0.9949,0.9341,0.3415,0.13626,0.88552,0.00125442,0.00125442,0.00125442
52,1843.25,0.60107,0.26247,1.01297,0.99926,0.97429,0.99439,0.93231,0.353,0.1537,0.89038,0.00124617,0.00124617,0.00124617
53,1905.96,0.59981,0.27411,1.01466,0.99633,0.98666,0.99464,0.93465,0.36,0.15864,0.89063,0.00123791,0.00123791,0.00123791
54,1969.57,0.60028,0.26372,1.02522,0.98929,0.98512,0.99459,0.9252,0.37439,0.15244,0.89938,0.00122966,0.00122966,0.00122966
55,2034.05,0.59535,0.26742,1.01686,0.98437,0.98892,0.99451,0.93477,0.34964,0.15065,0.88697,0.00122141,0.00122141,0.00122141
56,2097.05,0.60495,0.26423,1.02103,0.99608,0.99003,0.99487,0.93371,0.34131,0.14332,0.89079,0.00121316,0.00121316,0.00121316
57,2159.8,0.59105,0.25511,1.01885,0.98977,0.99713,0.99494,0.93607,0.33193,0.14607,0.88415,0.00120491,0.00120491,0.00120491
58,2222.49,0.59884,0.25992,1.01581,0.99663,0.99643,0.99497,0.92995,0.34182,0.14541,0.88647,0.00119666,0.00119666,0.00119666
59,2286.42,0.59811,0.25561,1.00546,0.9961,0.9843,0.99494,0.9319,0.35265,0.14496,0.88761,0.0011884,0.0011884,0.0011884
60,2348.86,0.56914,0.25365,0.9921,0.99912,0.99003,0.99493,0.93542,0.34895,0.13331,0.89014,0.00118015,0.00118015,0.00118015
61,2410.96,0.57974,0.25973,1.01079,0.99305,0.99425,0.99469,0.93317,0.34854,0.17055,0.88803,0.0011719,0.0011719,0.0011719
62,2474.75,0.56743,0.24228,0.99158,0.99252,0.99181,0.99489,0.93313,0.33007,0.12995,0.88265,0.00116365,0.00116365,0.00116365
63,2538.25,0.57546,0.24075,1.00783,0.99918,0.99121,0.995,0.93677,0.34251,0.13809,0.88149,0.0011554,0.0011554,0.0011554
64,2600.87,0.57078,0.24297,1.00527,0.99959,0.99713,0.995,0.9315,0.3358,0.11835,0.88577,0.00114715,0.00114715,0.00114715
65,2664.09,0.57483,0.23811,1.00061,0.99567,0.98948,0.99477,0.928,0.35271,0.13818,0.89169,0.00113889,0.00113889,0.00113889
66,2727.18,0.57424,0.2479,0.99622,0.99562,0.99663,0.995,0.93242,0.36362,0.13291,0.89317,0.00113064,0.00113064,0.00113064
67,2790.68,0.56837,0.23346,1.00039,0.9974,0.98957,0.99496,0.93069,0.35036,0.13703,0.88626,0.00112239,0.00112239,0.00112239
68,2853.1,0.5704,0.23557,0.99705,0.9956,0.99299,0.99493,0.9369,0.34161,0.12721,0.88832,0.00111414,0.00111414,0.00111414
69,2915.54,0.56479,0.24121,0.99802,0.99918,0.98716,0.99491,0.93309,0.33959,0.12145,0.88939,0.00110589,0.00110589,0.00110589
70,2979.37,0.55074,0.23613,0.99099,0.99962,0.98993,0.99496,0.93843,0.32996,0.11753,0.88227,0.00109764,0.00109764,0.00109764
71,3042.7,0.54886,0.24105,0.99648,0.99442,0.99319,0.99493,0.93629,0.34156,0.12513,0.88842,0.00108938,0.00108938,0.00108938
72,3106.02,0.54425,0.22786,0.98871,0.99376,0.99377,0.99494,0.92948,0.35326,0.11425,0.891,0.00108113,0.00108113,0.00108113
73,3169.04,0.56516,0.23215,0.99964,0.98776,0.98993,0.99471,0.93111,0.33408,0.15298,0.87857,0.00107288,0.00107288,0.00107288
74,3232.44,0.55187,0.23784,0.98783,0.99646,0.99424,0.995,0.93346,0.33221,0.13646,0.88591,0.00106463,0.00106463,0.00106463
75,3295.13,0.56344,0.2282,0.99375,0.99467,0.99003,0.9949,0.92912,0.34221,0.14621,0.89018,0.00105638,0.00105638,0.00105638
76,3359.76,0.53998,0.2276,0.99315,0.99027,0.99663,0.99491,0.93775,0.33362,0.15284,0.88097,0.00104813,0.00104813,0.00104813
77,3422.53,0.5344,0.22475,0.97989,0.99882,0.9925,0.995,0.93855,0.3352,0.11638,0.88428,0.00103987,0.00103987,0.00103987
78,3485.52,0.54793,0.23526,0.99198,0.99881,0.99697,0.995,0.93284,0.3485,0.11351,0.88873,0.00103162,0.00103162,0.00103162
79,3549.02,0.5349,0.22371,0.97662,0.99333,0.99118,0.9946,0.93573,0.33531,0.11711,0.88032,0.00102337,0.00102337,0.00102337
80,3611.8,0.53012,0.21945,0.97658,0.99577,0.99696,0.995,0.93535,0.3255,0.1031,0.88115,0.00101512,0.00101512,0.00101512
81,3675.14,0.51626,0.2155,0.97324,0.99333,0.99625,0.995,0.93429,0.32982,0.11856,0.88302,0.00100687,0.00100687,0.00100687
82,3738.01,0.518,0.22061,0.98354,0.99911,0.99425,0.99497,0.92733,0.34884,0.1585,0.89857,0.000998616,0.000998616,0.000998616
83,3800.04,0.53109,0.22152,0.98162,0.99905,0.99713,0.995,0.93352,0.33121,0.11758,0.8864,0.000990365,0.000990365,0.000990365
84,3863.25,0.53439,0.22346,0.98741,0.99659,0.98891,0.99494,0.93635,0.32786,0.13302,0.88026,0.000982113,0.000982113,0.000982113
85,3926.78,0.53235,0.21684,0.97493,0.9985,0.99038,0.99494,0.93041,0.3413,0.12403,0.8868,0.000973861,0.000973861,0.000973861
86,3990.34,0.53466,0.22845,0.98656,0.9986,0.9968,0.995,0.93646,0.32362,0.12017,0.8777,0.00096561,0.00096561,0.00096561
