epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5163,0.79591,3.11234,0.00709,0.94366,0.96593,0.98414,0.83524,0.62489,0.33454,0.00789,0.000552319,0.000552319,0.000552319
2,164.882,0.92275,0.63099,0.00838,0.94249,0.9109,0.98096,0.844,0.56611,0.36176,0.00679,0.0011025,0.0011025,0.0011025
3,255.042,0.91548,0.51002,0.00837,0.90816,0.97211,0.98238,0.83909,0.6096,0.32549,0.00751,0.00164718,0.00164718,0.00164718
4,340.694,0.89195,0.48312,0.00814,0.98423,0.95641,0.99261,0.85747,0.55554,0.23503,0.00681,0.00164225,0.00164225,0.00164225
5,427.003,0.89527,0.4596,0.00815,0.95422,0.95297,0.98974,0.85788,0.54948,0.27277,0.00638,0.00163399,0.00163399,0.00163399
6,513.636,0.85021,0.41732,0.00773,0.97906,0.96134,0.9919,0.87837,0.50453,0.25612,0.00591,0.00162574,0.00162574,0.00162574
7,599.383,0.84473,0.43111,0.00762,0.96781,0.95896,0.98529,0.85923,0.5523,0.25632,0.00654,0.00161749,0.00161749,0.00161749
8,681.88,0.82385,0.42546,0.00752,0.97137,0.98829,0.99215,0.88269,0.48525,0.21275,0.00555,0.00160924,0.00160924,0.00160924
9,764.621,0.79349,0.37591,0.00705,0.98397,0.967,0.99207,0.86143,0.52723,0.24307,0.00633,0.00160099,0.00160099,0.00160099
10,847.068,0.80179,0.36058,0.00722,0.96086,0.96359,0.99075,0.88788,0.45753,0.24661,0.00534,0.00159274,0.00159274,0.00159274
11,931.598,0.77466,0.36361,0.00688,0.96488,0.94665,0.98786,0.88958,0.45992,0.24654,0.00542,0.00158448,0.00158448,0.00158448
12,1014.1,0.77242,0.35411,0.00695,0.98812,0.97761,0.99401,0.90316,0.43097,0.19276,0.00513,0.00157623,0.00157623,0.00157623
13,1093.62,0.7747,0.35495,0.00688,0.9845,0.97297,0.99272,0.89742,0.45453,0.19691,0.00549,0.00156798,0.00156798,0.00156798
14,1169.58,0.74335,0.32739,0.00662,0.99552,0.97065,0.99426,0.91148,0.42326,0.18238,0.00505,0.00155973,0.00155973,0.00155973
15,1240.1,0.74971,0.34733,0.00662,0.97981,0.98783,0.9937,0.90796,0.40585,0.19983,0.00483,0.00155148,0.00155148,0.00155148
16,1310,0.73409,0.32409,0.00658,0.99415,0.99312,0.99489,0.91853,0.39241,0.15047,0.00454,0.00154323,0.00154323,0.00154323
17,1379.96,0.70744,0.32658,0.00626,0.9929,0.97073,0.99361,0.90949,0.40648,0.18633,0.00468,0.00153497,0.00153497,0.00153497
18,1450.05,0.73828,0.32835,0.00654,0.98432,0.98699,0.99399,0.90149,0.41844,0.21038,0.00491,0.00152672,0.00152672,0.00152672
19,1520.78,0.71373,0.31554,0.00634,0.99575,0.98059,0.9942,0.90596,0.43594,0.17288,0.00504,0.00151847,0.00151847,0.00151847
20,1591.53,0.71211,0.33029,0.00657,0.97457,0.98555,0.99378,0.90755,0.39268,0.18156,0.00458,0.00151022,0.00151022,0.00151022
21,1661.82,0.70617,0.31542,0.00624,0.99053,0.96705,0.9932,0.91009,0.41651,0.19219,0.00482,0.00150197,0.00150197,0.00150197
22,1732.26,0.70762,0.31906,0.00627,0.99344,0.97177,0.9944,0.91651,0.40344,0.18279,0.00473,0.00149372,0.00149372,0.00149372
23,1802.02,0.69139,0.30286,0.00614,0.99193,0.98211,0.99469,0.91225,0.42129,0.19169,0.00482,0.00148546,0.00148546,0.00148546
24,1878.08,0.70595,0.31156,0.00623,0.99148,0.98061,0.99388,0.91111,0.41363,0.17038,0.00481,0.00147721,0.00147721,0.00147721
25,1955.2,0.70664,0.30245,0.00646,0.99421,0.98603,0.99483,0.90872,0.43583,0.17004,0.0052,0.00146896,0.00146896,0.00146896
26,2032.23,0.68769,0.29283,0.00616,0.96615,0.97691,0.99271,0.92271,0.36463,0.21373,0.0042,0.00146071,0.00146071,0.00146071
27,2107.59,0.68068,0.29737,0.00611,0.98354,0.98783,0.99458,0.9166,0.41363,0.1675,0.00491,0.00145246,0.00145246,0.00145246
28,2184.83,0.68426,0.28649,0.00614,0.97573,0.99608,0.99458,0.91249,0.39966,0.17324,0.00465,0.00144421,0.00144421,0.00144421
29,2262.9,0.66602,0.28314,0.00587,0.98931,0.97831,0.99417,0.91968,0.37786,0.16738,0.00433,0.00143595,0.00143595,0.00143595
30,2339.13,0.67087,0.30258,0.00597,0.9904,0.98117,0.99433,0.9239,0.36758,0.16971,0.00429,0.0014277,0.0014277,0.0014277
31,2414.2,0.66397,0.28175,0.00597,0.99389,0.98309,0.99446,0.92824,0.3731,0.1671,0.00425,0.00141945,0.00141945,0.00141945
32,2484.73,0.6754,0.29659,0.00602,0.97923,0.99317,0.99484,0.92356,0.36765,0.15121,0.00421,0.0014112,0.0014112,0.0014112
33,2554.84,0.66297,0.27921,0.0059,0.99004,0.98806,0.99477,0.92765,0.36158,0.15518,0.00409,0.00140295,0.00140295,0.00140295
34,2624.85,0.65273,0.28247,0.00588,0.99477,0.98343,0.99451,0.92153,0.36797,0.15142,0.00419,0.0013947,0.0013947,0.0013947
35,2695.4,0.65714,0.28214,0.00586,0.9895,0.98542,0.99474,0.91623,0.36569,0.15246,0.00429,0.00138644,0.00138644,0.00138644
36,2766.54,0.6517,0.28086,0.00572,0.99801,0.96866,0.99445,0.93391,0.33941,0.15645,0.0038,0.00137819,0.00137819,0.00137819
37,2835.04,0.62573,0.26786,0.00542,0.98253,0.99003,0.99437,0.91983,0.34717,0.15663,0.00402,0.00136994,0.00136994,0.00136994
38,2903.19,0.64347,0.27919,0.00573,0.99352,0.98529,0.99469,0.9228,0.37024,0.1851,0.0042,0.00136169,0.00136169,0.00136169
39,2972.62,0.62971,0.26463,0.00547,0.99125,0.98524,0.99471,0.92666,0.35763,0.15647,0.00408,0.00135344,0.00135344,0.00135344
