epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,2834.03,0.09354,0.24107,0.05311,0.89782,0.99415,0.98035,0.96186,0.04561,0.16346,0.02666,0.000973861,0.000973861,0.000973861
44,2900.59,0.09266,0.24026,0.05146,0.92389,0.97035,0.98403,0.96423,0.04695,0.15867,0.02734,0.000957358,0.000957358,0.000957358
45,2966.78,0.0825,0.22489,0.04624,0.92719,0.95983,0.98332,0.96358,0.0457,0.15393,0.02583,0.000940855,0.000940855,0.000940855
46,3033.32,0.09067,0.23617,0.04993,0.89965,0.99262,0.98132,0.96181,0.04788,0.16288,0.02684,0.000924352,0.000924352,0.000924352
47,3099.19,0.08964,0.26519,0.0492,0.88584,0.99238,0.97813,0.95664,0.0487,0.17615,0.02853,0.000907848,0.000907848,0.000907848
48,3165.37,0.09439,0.24405,0.0501,0.88184,0.99708,0.97544,0.95759,0.04552,0.16973,0.0263,0.000891345,0.000891345,0.000891345
49,3232.02,0.08459,0.23635,0.04811,0.88662,0.97076,0.96649,0.94646,0.04625,0.18911,0.02639,0.000874842,0.000874842,0.000874842
50,3298.53,0.0916,0.24577,0.0516,0.91257,0.97409,0.97668,0.95492,0.04764,0.17506,0.02895,0.000858338,0.000858338,0.000858338
51,3364.36,0.0896,0.23358,0.04844,0.886,0.99098,0.98108,0.96113,0.04622,0.17315,0.02722,0.000841835,0.000841835,0.000841835
52,3430.76,0.09136,0.24022,0.04993,0.88707,0.98,0.97314,0.95265,0.04504,0.17786,0.02584,0.000825332,0.000825332,0.000825332
53,3497.3,0.09155,0.22957,0.05159,0.9011,0.9725,0.96585,0.94512,0.04667,0.19123,0.02685,0.000808828,0.000808828,0.000808828
54,3563.62,0.08944,0.25166,0.05123,0.89109,0.99424,0.98109,0.96053,0.04622,0.16279,0.02687,0.000792325,0.000792325,0.000792325
55,3630.1,0.09055,0.22816,0.04893,0.92419,0.95178,0.97947,0.95971,0.04501,0.18052,0.02554,0.000775822,0.000775822,0.000775822
56,3696.21,0.08591,0.22586,0.04899,0.88622,0.98225,0.97738,0.95914,0.04406,0.16634,0.02517,0.000759318,0.000759318,0.000759318
57,3761.81,0.08442,0.22958,0.04598,0.89805,0.984,0.98307,0.96418,0.04531,0.16279,0.02735,0.000742815,0.000742815,0.000742815
58,3827.9,0.08291,0.22976,0.04701,0.90396,0.98869,0.98129,0.96301,0.04604,0.15701,0.0262,0.000726312,0.000726312,0.000726312
59,3894.26,0.0888,0.2275,0.04971,0.90525,0.98382,0.9777,0.95815,0.04518,0.16094,0.0257,0.000709809,0.000709809,0.000709809
60,3960.16,0.08515,0.21335,0.04716,0.91092,0.99415,0.98473,0.96446,0.04446,0.15203,0.02539,0.000693305,0.000693305,0.000693305
61,4026.12,0.08376,0.22193,0.04885,0.90024,0.98221,0.98092,0.96162,0.04262,0.15677,0.02461,0.000676802,0.000676802,0.000676802
62,4092.47,0.0828,0.21248,0.04588,0.90102,0.99455,0.98276,0.96365,0.04285,0.15426,0.02453,0.000660299,0.000660299,0.000660299
63,4159.12,0.08357,0.22533,0.04871,0.90185,0.98669,0.98296,0.96665,0.04338,0.15419,0.02542,0.000643795,0.000643795,0.000643795
64,4226.44,0.08109,0.21047,0.04427,0.9047,0.98525,0.98187,0.96411,0.04197,0.15415,0.02365,0.000627292,0.000627292,0.000627292
65,4295.98,0.07741,0.20444,0.0437,0.9012,0.98538,0.98224,0.96319,0.04471,0.17573,0.02546,0.000610789,0.000610789,0.000610789
66,4362.29,0.08349,0.21369,0.04648,0.88795,0.98957,0.97805,0.96051,0.04814,0.15353,0.0287,0.000594286,0.000594286,0.000594286
