epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1341.64,0.49091,0.36728,0.92184,0.75464,0.93752,0.91898,0.8845,0.32524,0.55405,0.83495,0.005743,0.005743,0.005743
45,1372.91,0.52361,0.37965,0.9459,0.85135,0.97741,0.96214,0.92474,0.333,0.34593,0.84629,0.005644,0.005644,0.005644
46,1404.05,0.51208,0.37531,0.93234,0.87881,0.98513,0.96516,0.92359,0.3303,0.29727,0.84596,0.005545,0.005545,0.005545
47,1434.31,0.50423,0.38987,0.93226,0.89464,0.95489,0.96748,0.92258,0.33965,0.30932,0.84305,0.005446,0.005446,0.005446
48,1464.74,0.4947,0.37889,0.93252,0.89733,0.94744,0.95677,0.91106,0.33876,0.40328,0.84308,0.005347,0.005347,0.005347
49,1495.29,0.50561,0.38374,0.93808,0.88565,0.99,0.96803,0.93435,0.33486,0.29632,0.82999,0.005248,0.005248,0.005248
50,1526.9,0.47952,0.35831,0.91498,0.77198,0.5611,0.53499,0.47987,1.50674,1.13635,1.55424,0.005149,0.005149,0.005149
51,1559.22,0.47073,0.32912,0.91498,0.89299,0.97736,0.96583,0.92087,0.34125,0.39161,0.8323,0.00505,0.00505,0.00505
52,1591.44,0.4734,0.34375,0.91265,0.8944,0.98011,0.96832,0.93466,0.31701,0.32369,0.82412,0.004951,0.004951,0.004951
53,1623.02,0.46311,0.33937,0.91739,0.87965,0.99415,0.9687,0.93713,0.31216,0.27516,0.82532,0.004852,0.004852,0.004852
54,1654.91,0.46098,0.33154,0.90961,0.88914,0.98029,0.96666,0.93593,0.29972,0.37973,0.82778,0.004753,0.004753,0.004753
55,1687.46,0.46672,0.32957,0.90307,0.83905,0.90913,0.91272,0.87862,0.30645,0.46006,0.8262,0.004654,0.004654,0.004654
56,1719.43,0.45304,0.3318,0.90981,0.88046,0.98818,0.96995,0.94319,0.30339,0.27632,0.82575,0.004555,0.004555,0.004555
57,1750.5,0.45538,0.32145,0.9149,0.87425,0.98513,0.97053,0.94137,0.29244,0.28923,0.82371,0.004456,0.004456,0.004456
58,1780.63,0.46024,0.34151,0.91258,0.87737,0.98126,0.96402,0.93823,0.28623,0.28871,0.81621,0.004357,0.004357,0.004357
59,1811.29,0.43172,0.33777,0.90954,0.89071,0.98526,0.96895,0.9382,0.28223,0.26154,0.82157,0.004258,0.004258,0.004258
60,1842.01,0.41329,0.33308,0.90393,0.87763,0.99415,0.96812,0.93787,0.28923,0.26639,0.82125,0.004159,0.004159,0.004159
61,1873.32,0.43919,0.34065,0.90774,0.8916,0.98844,0.97202,0.94076,0.28123,0.25899,0.82432,0.00406,0.00406,0.00406
62,1903.32,0.44365,0.31091,0.9076,0.92101,0.86474,0.94556,0.91552,0.28247,0.39758,0.81774,0.003961,0.003961,0.003961
63,1934.19,0.42466,0.31008,0.89047,0.86469,0.94063,0.96758,0.94053,0.27314,0.32338,0.81434,0.003862,0.003862,0.003862
64,1965.39,0.43315,0.32544,0.90117,0.87962,0.94884,0.96265,0.93487,0.27046,0.37155,0.81515,0.003763,0.003763,0.003763
65,1996.23,0.41957,0.29733,0.904,0.88018,0.9671,0.96407,0.92788,0.30508,0.31682,0.82642,0.003664,0.003664,0.003664
66,2027.09,0.42133,0.32331,0.89454,0.88569,0.97689,0.97152,0.93832,0.28543,0.33244,0.82002,0.003565,0.003565,0.003565
67,2057.53,0.42573,0.30124,0.90571,0.88763,0.99504,0.97224,0.94589,0.26108,0.25557,0.81179,0.003466,0.003466,0.003466
68,2087.83,0.41285,0.3089,0.89836,0.89288,0.99515,0.97389,0.94431,0.26205,0.247,0.81019,0.003367,0.003367,0.003367
69,2118.56,0.4098,0.31603,0.8953,0.89518,0.99403,0.96952,0.94269,0.26884,0.24459,0.81387,0.003268,0.003268,0.003268
70,2149.18,0.41393,0.33131,0.89636,0.88773,0.99403,0.97182,0.9435,0.27244,0.26555,0.81516,0.003169,0.003169,0.003169
71,2179.24,0.40988,0.30189,0.8999,0.8951,0.98825,0.9732,0.94646,0.26402,0.26228,0.81094,0.00307,0.00307,0.00307
72,2210.04,0.39968,0.29917,0.89387,0.88859,0.99286,0.97177,0.94785,0.26317,0.29703,0.81453,0.002971,0.002971,0.002971
73,2240.51,0.38931,0.30749,0.89998,0.89442,0.99301,0.97729,0.95314,0.25038,0.23462,0.80495,0.002872,0.002872,0.002872
74,2271.89,0.38215,0.29941,0.88853,0.90527,0.98081,0.97579,0.94911,0.25973,0.26201,0.80807,0.002773,0.002773,0.002773
75,2302.84,0.3844,0.2741,0.88758,0.90675,0.97141,0.97736,0.95166,0.24402,0.24308,0.80278,0.002674,0.002674,0.002674
76,2334.18,0.39418,0.28969,0.89522,0.8943,0.99415,0.97695,0.95149,0.26519,0.21776,0.8111,0.002575,0.002575,0.002575
77,2365.09,0.3891,0.28871,0.89006,0.90185,0.99246,0.97741,0.95427,0.24837,0.23937,0.80361,0.002476,0.002476,0.002476
78,2395.41,0.37592,0.27466,0.88898,0.89243,0.99558,0.97769,0.95613,0.24369,0.23977,0.80413,0.002377,0.002377,0.002377
79,2425.91,0.36785,0.27286,0.88409,0.8941,0.99255,0.97691,0.95569,0.24221,0.24064,0.80408,0.002278,0.002278,0.002278
80,2456.6,0.36768,0.27557,0.8823,0.89263,0.99534,0.97664,0.95193,0.24733,0.24551,0.80459,0.002179,0.002179,0.002179
81,2486.61,0.38617,0.29103,0.89506,0.90184,0.98409,0.97697,0.9519,0.24627,0.25831,0.80567,0.00208,0.00208,0.00208
82,2517.28,0.36786,0.27439,0.88266,0.89251,0.99537,0.97919,0.95379,0.24745,0.23897,0.80596,0.001981,0.001981,0.001981
83,2547.77,0.35332,0.27389,0.87913,0.89978,0.99151,0.97667,0.95166,0.23241,0.29464,0.80111,0.001882,0.001882,0.001882
84,2578.44,0.35169,0.25934,0.88953,0.88722,0.98934,0.97441,0.95364,0.23257,0.26118,0.80053,0.001783,0.001783,0.001783
85,2609.02,0.34289,0.27239,0.88214,0.89918,0.99616,0.97726,0.95526,0.23674,0.26943,0.80163,0.001684,0.001684,0.001684
86,2640.01,0.3398,0.25292,0.87313,0.89861,0.99708,0.97723,0.95681,0.22643,0.22476,0.80117,0.001585,0.001585,0.001585
87,2670.36,0.34199,0.25975,0.8767,0.89788,0.99708,0.9782,0.95482,0.22743,0.22222,0.80384,0.001486,0.001486,0.001486
88,2700.98,0.33915,0.25665,0.87185,0.9037,0.99403,0.98019,0.95911,0.22391,0.21964,0.79916,0.001387,0.001387,0.001387
89,2731.2,0.31044,0.24218,0.86643,0.89509,0.99104,0.97898,0.95704,0.22629,0.24403,0.79798,0.001288,0.001288,0.001288
90,2762.77,0.34382,0.26962,0.88216,0.89198,0.99549,0.97892,0.95491,0.22618,0.25006,0.79718,0.001189,0.001189,0.001189
91,2807.04,0.22427,0.19621,0.81911,0.90263,0.97728,0.97864,0.95717,0.22318,0.21153,0.79878,0.00109,0.00109,0.00109
92,2837.9,0.22616,0.20831,0.82405,0.89874,0.99619,0.97748,0.95511,0.22076,0.21288,0.79502,0.000991,0.000991,0.000991
93,2869.36,0.22103,0.19247,0.82198,0.89202,0.98989,0.97749,0.95366,0.22835,0.22262,0.79628,0.000892,0.000892,0.000892
94,2900.05,0.21522,0.1864,0.80982,0.88111,0.99708,0.97692,0.95603,0.2192,0.22249,0.79444,0.000793,0.000793,0.000793
95,2931.35,0.20909,0.19068,0.80922,0.89619,0.99415,0.9789,0.95779,0.2177,0.22406,0.79259,0.000694,0.000694,0.000694
96,2961.83,0.20484,0.18154,0.80864,0.89298,0.99123,0.97769,0.95711,0.21515,0.2425,0.79307,0.000595,0.000595,0.000595
97,2992.07,0.20474,0.17712,0.80894,0.88678,0.99708,0.9781,0.95714,0.20711,0.21706,0.79022,0.000496,0.000496,0.000496
98,3022.26,0.19984,0.17095,0.80907,0.8937,0.99415,0.97905,0.96075,0.21088,0.21434,0.78996,0.000397,0.000397,0.000397
99,3052.13,0.19235,0.18281,0.81248,0.88805,0.99708,0.97881,0.95868,0.20582,0.22669,0.78961,0.000298,0.000298,0.000298
100,3082.14,0.19424,0.18353,0.80584,0.89377,0.99415,0.97812,0.95909,0.20456,0.223,0.78941,0.000199,0.000199,0.000199
