epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1358.2,0.69893,0.38804,0.0069,0.89172,0.98347,0.95407,0.81741,0.61357,0.37221,0.00659,0.00107205,0.00107205,0.00107205
43,1390.27,0.71523,0.40372,0.00669,0.88363,0.97639,0.95759,0.83077,0.59589,0.36183,0.00636,0.00104705,0.00104705,0.00104705
44,1422.19,0.67814,0.40373,0.00658,0.89749,0.9432,0.97097,0.88169,0.45959,0.31406,0.00461,0.00102184,0.00102184,0.00102184
45,1454.54,0.67687,0.38292,0.00676,0.89413,0.94674,0.9661,0.8642,0.50961,0.33237,0.00557,0.000996456,0.000996456,0.000996456
46,1486.56,0.66002,0.39351,0.00651,0.91378,0.95772,0.9708,0.71226,0.97411,0.3978,0.01137,0.000970919,0.000970919,0.000970919
47,1518.42,0.67961,0.37473,0.00644,0.90577,0.97598,0.97361,0.872,0.49524,0.33805,0.0051,0.000945256,0.000945256,0.000945256
48,1550.46,0.66095,0.35665,0.00668,0.87332,0.9911,0.97038,0.85054,0.57428,0.31172,0.00603,0.00091949,0.00091949,0.00091949
49,1582.34,0.64384,0.37101,0.00618,0.87056,0.97356,0.96528,0.8718,0.48073,0.34346,0.00502,0.000893648,0.000893648,0.000893648
50,1614.43,0.64444,0.37867,0.00617,0.89871,0.96709,0.9688,0.86932,0.49507,0.33103,0.00511,0.000867754,0.000867754,0.000867754
51,1646.46,0.63214,0.34774,0.00607,0.86431,0.97661,0.95634,0.86789,0.46633,0.3435,0.00497,0.000841835,0.000841835,0.000841835
52,1678.26,0.64775,0.36822,0.00623,0.88051,0.98135,0.96582,0.88555,0.43486,0.29994,0.0046,0.000815916,0.000815916,0.000815916
53,1710.5,0.64975,0.36906,0.00636,0.89335,0.96889,0.96028,0.83601,0.5737,0.3323,0.0062,0.000790022,0.000790022,0.000790022
54,1744.92,0.62902,0.35822,0.00604,0.87002,0.98912,0.9651,0.87885,0.45453,0.30956,0.00468,0.00076418,0.00076418,0.00076418
55,1777.62,0.62716,0.36184,0.00575,0.89202,0.96968,0.9642,0.85974,0.50977,0.32759,0.00565,0.000738414,0.000738414,0.000738414
56,1809.71,0.62651,0.32659,0.00597,0.9035,0.96454,0.96411,0.88028,0.45939,0.32911,0.00498,0.000712751,0.000712751,0.000712751
57,1841.91,0.61298,0.3527,0.00602,0.8948,0.97114,0.97194,0.86816,0.48914,0.30839,0.00505,0.000687214,0.000687214,0.000687214
58,1873.76,0.58074,0.3368,0.00568,0.8963,0.98677,0.97115,0.87649,0.46083,0.28452,0.00466,0.000661831,0.000661831,0.000661831
59,1905.53,0.59206,0.35741,0.00545,0.8927,0.97145,0.96977,0.87479,0.47194,0.30516,0.00481,0.000636625,0.000636625,0.000636625
60,1937.2,0.58527,0.31711,0.00564,0.89558,0.97804,0.97575,0.88213,0.46089,0.28663,0.00477,0.000611621,0.000611621,0.000611621
61,1968.88,0.58287,0.35427,0.00547,0.89157,0.98973,0.97763,0.89012,0.45746,0.26952,0.00487,0.000586845,0.000586845,0.000586845
62,2000.72,0.58245,0.33602,0.00556,0.88919,0.98847,0.97519,0.91066,0.40807,0.26312,0.00424,0.00056232,0.00056232,0.00056232
63,2032.74,0.59681,0.33693,0.00594,0.89617,0.98514,0.979,0.92073,0.37761,0.23957,0.00384,0.000538072,0.000538072,0.000538072
64,2064.79,0.56515,0.32274,0.00531,0.88987,0.99403,0.97783,0.90369,0.40601,0.26549,0.00425,0.000514122,0.000514122,0.000514122
65,2097.26,0.55539,0.31934,0.00519,0.89207,0.98818,0.97809,0.89686,0.42809,0.27271,0.00451,0.000490497,0.000490497,0.000490497
66,2129.25,0.56336,0.34222,0.00544,0.89429,0.99117,0.97766,0.87721,0.49137,0.27569,0.00518,0.000467218,0.000467218,0.000467218
67,2161.07,0.54413,0.32326,0.00509,0.89441,0.98215,0.97524,0.87985,0.45427,0.2836,0.00493,0.000444309,0.000444309,0.000444309
68,2192.63,0.52473,0.31441,0.00512,0.90516,0.96753,0.97842,0.88887,0.46604,0.26867,0.00498,0.000421792,0.000421792,0.000421792
69,2224.5,0.54218,0.30466,0.0051,0.90973,0.97067,0.977,0.92155,0.37177,0.25146,0.0038,0.000399689,0.000399689,0.000399689
70,2256.36,0.53162,0.3189,0.00508,0.87689,0.99555,0.97324,0.87558,0.47661,0.28168,0.00513,0.000378023,0.000378023,0.000378023
71,2288.13,0.52974,0.30208,0.00508,0.88828,0.99692,0.97776,0.91954,0.37002,0.24783,0.00376,0.000356815,0.000356815,0.000356815
72,2319.86,0.55471,0.3205,0.00539,0.88393,0.99403,0.9787,0.88497,0.46358,0.26519,0.00481,0.000336086,0.000336086,0.000336086
73,2351.52,0.51407,0.2882,0.00502,0.89253,0.98622,0.97993,0.92518,0.35555,0.24209,0.0037,0.000315855,0.000315855,0.000315855
74,2383.29,0.51517,0.29567,0.00491,0.87964,0.98513,0.97526,0.91462,0.38924,0.26223,0.00408,0.000296144,0.000296144,0.000296144
75,2415.53,0.5207,0.30748,0.0052,0.9001,0.97773,0.97676,0.91213,0.38798,0.26129,0.00395,0.000276971,0.000276971,0.000276971
76,2447.38,0.52106,0.28946,0.00496,0.89508,0.97294,0.97931,0.91306,0.39119,0.25845,0.00396,0.000258355,0.000258355,0.000258355
77,2479.29,0.51904,0.3002,0.00504,0.90431,0.96918,0.98078,0.91163,0.40899,0.24907,0.00426,0.000240316,0.000240316,0.000240316
78,2511.1,0.50764,0.29973,0.00486,0.8875,0.98779,0.97785,0.91067,0.39235,0.25157,0.0041,0.00022287,0.00022287,0.00022287
79,2542.92,0.50437,0.29333,0.00469,0.91032,0.96677,0.97837,0.90534,0.40851,0.25628,0.00429,0.000206034,0.000206034,0.000206034
80,2574.64,0.49474,0.28411,0.00467,0.90635,0.98208,0.98058,0.90355,0.4245,0.25029,0.00452,0.000189827,0.000189827,0.000189827
81,2606.5,0.50719,0.30824,0.00476,0.90968,0.95542,0.97817,0.91516,0.3844,0.27317,0.00404,0.000174262,0.000174262,0.000174262
82,2638.2,0.49791,0.28303,0.00472,0.92135,0.96235,0.98006,0.91695,0.3979,0.24561,0.00425,0.000159357,0.000159357,0.000159357
83,2669.96,0.50311,0.28691,0.00482,0.92158,0.96877,0.97916,0.92373,0.36673,0.24689,0.0038,0.000145125,0.000145125,0.000145125
84,2701.8,0.482,0.28429,0.00461,0.90878,0.96402,0.97908,0.92281,0.36536,0.25408,0.00385,0.000131581,0.000131581,0.000131581
85,2733.59,0.48428,0.29644,0.0047,0.91139,0.96804,0.98097,0.93637,0.33837,0.2351,0.0035,0.000118737,0.000118737,0.000118737
86,2765.44,0.48612,0.28491,0.0045,0.91391,0.96721,0.97818,0.92798,0.34344,0.23688,0.00352,0.000106608,0.000106608,0.000106608
87,2797.26,0.49483,0.27615,0.00474,0.90865,0.97708,0.98063,0.92421,0.36864,0.23635,0.00385,9.52034e-05,9.52034e-05,9.52034e-05
88,2829.14,0.48069,0.30149,0.00459,0.90791,0.97721,0.97907,0.9206,0.3699,0.24063,0.00387,8.4536e-05,8.4536e-05,8.4536e-05
89,2860.89,0.46235,0.26957,0.00444,0.90705,0.97381,0.97871,0.92467,0.35651,0.23832,0.00368,7.4616e-05,7.4616e-05,7.4616e-05
90,2892.68,0.46561,0.27997,0.00443,0.90984,0.97014,0.9801,0.93024,0.34116,0.24197,0.00354,6.54531e-05,6.54531e-05,6.54531e-05
91,2942.4,0.33721,0.20723,0.00368,0.8854,0.99415,0.97785,0.91429,0.38758,0.249,0.00403,5.70564e-05,5.70564e-05,5.70564e-05
92,2974.38,0.32575,0.19992,0.00361,0.89115,0.98714,0.97837,0.92831,0.35274,0.24404,0.00367,4.94343e-05,4.94343e-05,4.94343e-05
93,3006.08,0.3395,0.20188,0.00377,0.90733,0.9736,0.9795,0.93098,0.34466,0.2392,0.00358,4.25941e-05,4.25941e-05,4.25941e-05
94,3038.02,0.33178,0.20124,0.00378,0.90511,0.98097,0.97942,0.9296,0.34527,0.24142,0.00356,3.65426e-05,3.65426e-05,3.65426e-05
95,3070.05,0.33069,0.19893,0.00365,0.91878,0.96734,0.97924,0.93044,0.33939,0.24168,0.0035,3.12859e-05,3.12859e-05,3.12859e-05
96,3101.82,0.33573,0.21067,0.00378,0.90339,0.96866,0.97827,0.92964,0.34079,0.24626,0.00357,2.68292e-05,2.68292e-05,2.68292e-05
97,3133.61,0.32029,0.20523,0.00356,0.90875,0.96853,0.97869,0.93091,0.33593,0.24338,0.00348,2.31767e-05,2.31767e-05,2.31767e-05
98,3165.7,0.32918,0.20124,0.00366,0.90534,0.96611,0.97849,0.92752,0.35151,0.24846,0.00365,2.03321e-05,2.03321e-05,2.03321e-05
99,3198.4,0.32396,0.20084,0.00351,0.90927,0.96951,0.97874,0.92643,0.35122,0.2485,0.00364,1.82983e-05,1.82983e-05,1.82983e-05
100,3230.21,0.32295,0.19903,0.00362,0.90719,0.96779,0.9776,0.92978,0.33689,0.24546,0.00347,1.70772e-05,1.70772e-05,1.70772e-05
